names_IUCN,names_phylo,names_elton,diff_IUCN_elton,diff_IUCN_phylo
Auliscomys_boliviensis,Auliscomys_boliviensis,Auliscomys_boliviensis,,
Auliscomys_pictus,Auliscomys_pictus,Auliscomys_pictus,,
Auliscomys_sublimis,Auliscomys_sublimis,Auliscomys_sublimis,,
Austronomus_australis,Tadarida_australis,Tadarida_australis,New genus,New genus
Austronomus_kuboriensis,Tadarida_kuboriensis,Tadarida_kuboriensis,New genus,New genus
Avahi_betsileo,Avahi_betsileo,Avahi_laniger,Lump/split,
Avahi_cleesei,Avahi_cleesei,Avahi_occidentalis,Recently discovered,
Avahi_laniger,Avahi_laniger,Avahi_laniger,,
Avahi_meridionalis,Avahi_meridionalis,Avahi_laniger,Lump/split,
Avahi_mooreorum,Avahi_mooreorum,Avahi_laniger,Recently discovered,
Avahi_occidentalis,Avahi_occidentalis,Avahi_occidentalis,,
Avahi_peyrierasi,Avahi_peyrierasi,Avahi_laniger,Lump/split,
Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,Avahi_laniger,Lump/split,
Avahi_unicolor,Avahi_unicolor,Avahi_unicolor,,
Axis_axis,Axis_axis,Axis_axis,,
Axis_calamianensis,Axis_calamianensis,Axis_calamianensis,,
Axis_kuhlii,Axis_kuhlii,Axis_kuhlii,,
Axis_porcinus,Axis_porcinus,Axis_porcinus,,
Babyrousa_babyrussa,Babyrousa_babyrussa,Babyrousa_babyrussa,,
Babyrousa_celebensis,Babyrousa_celebensis,Babyrousa_celebensis,,
Babyrousa_togeanensis,Babyrousa_togeanensis,Babyrousa_togeanensis,,
Baiomys_musculus,Baiomys_musculus,Baiomys_musculus,,
Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,,
Baiyankamys_habbema,Baiyankamys_habbema,Hydromys_habbema,New genus,
Baiyankamys_shawmayeri,Baiyankamys_shawmayeri,Hydromys_shawmayeri,New genus,
Balantiopteryx_infusca,Balantiopteryx_infusca,Balantiopteryx_infusca,,
Balantiopteryx_io,Balantiopteryx_io,Balantiopteryx_io,,
Balantiopteryx_plicata,Balantiopteryx_plicata,Balantiopteryx_plicata,,
Balionycteris_maculata,Balionycteris_maculata,Balionycteris_maculata,,
Bandicota_bengalensis,Bandicota_bengalensis,Bandicota_bengalensis,,
Bandicota_indica,Bandicota_indica,Bandicota_indica,,
Bandicota_savilei,Bandicota_savilei,Bandicota_savilei,,
Barbastella_barbastellus,Barbastella_barbastellus,Barbastella_barbastellus,,
Barbastella_leucomelas,Barbastella_leucomelas,Barbastella_leucomelas,,
