names_IUCN,names_elton,names_phylo,diff_IUCN_elton,diff_IUCN_phylo
Agelaioides_badius,Agelaioides_badius,Agelaioides_badius,,
Agelaioides_fringillarius,Agelaioides_badius,Agelaioides_badius,Lump/split,Lump/split
Agelaius_assimilis,Agelaius_assimilis,Agelaius_assimilis,,
Agelaius_humeralis,Agelaius_humeralis,Agelaius_humeralis,,
Agelaius_phoeniceus,Agelaius_phoeniceus,Agelaius_phoeniceus,,
Agelaius_tricolor,Agelaius_tricolor,Agelaius_tricolor,,
Agelaius_xanthomus,Agelaius_xanthomus,Agelaius_xanthomus,,
Agelastes_meleagrides,Agelastes_meleagrides,Agelastes_meleagrides,,
Agelastes_niger,Agelastes_niger,Agelastes_niger,,
Agelasticus_cyanopus,Agelasticus_cyanopus,Agelasticus_cyanopus,,
Agelasticus_thilius,Agelasticus_thilius,Agelasticus_thilius,,
Agelasticus_xanthophthalmus,Agelasticus_xanthophthalmus,Agelasticus_xanthophthalmus,,
Aglaeactis_aliciae,Aglaeactis_aliciae,Aglaeactis_aliciae,,
Aglaeactis_castelnaudii,Aglaeactis_castelnaudii,Aglaeactis_castelnaudii,,
Aglaeactis_cupripennis,Aglaeactis_cupripennis,Aglaeactis_cupripennis,,
Aglaeactis_pamela,Aglaeactis_pamela,Aglaeactis_pamela,,
Aglaiocercus_berlepschi,Aglaiocercus_berlepschi,Aglaiocercus_kingi,,Lump/split
Aglaiocercus_coelestis,Aglaiocercus_coelestis,Aglaiocercus_coelestis,,
Aglaiocercus_kingii,Aglaiocercus_kingi,Aglaiocercus_kingi,Typo,Typo
Agraphospiza_rubescens,Carpodacus_rubescens,Carpodacus_rubescens,New genus,New genus
Agricola_infuscatus,Bradornis_infuscatus,Bradornis_infuscatus,New genus,New genus
Agricola_pallidus,Bradornis_pallidus,Bradornis_pallidus,New genus,New genus
Agriornis_albicauda,Agriornis_albicauda,Agriornis_albicauda,,
Agriornis_lividus,Agriornis_lividus,Agriornis_lividus,,
Agriornis_micropterus,Agriornis_micropterus,Agriornis_micropterus,,
Agriornis_montanus,Agriornis_montanus,Agriornis_montanus,,
Agriornis_murinus,Agriornis_murinus,Agriornis_murinus,,
Agropsar_philippensis,Sturnus_philippensis,Sturnus_philippensis,New genus,New genus
Agropsar_sturninus,Sturnus_sturninus,Sturnus_sturninus,New genus,New genus
Ailuroedus_buccoides,Ailuroedus_buccoides,Ailuroedus_buccoides,,
Ailuroedus_crassirostris,Ailuroedus_crassirostris,Ailuroedus_crassirostris,,
Ailuroedus_melanotis,Ailuroedus_melanotis,Ailuroedus_melanotis,,
Aimophila_notosticta,Aimophila_notosticta,Aimophila_notosticta,,
Aimophila_rufescens,Aimophila_rufescens,Aimophila_rufescens,,
Aimophila_ruficeps,Aimophila_ruficeps,Aimophila_ruficeps,,
Aix_galericulata,Aix_galericulata,Aix_galericulata,,
Aix_sponsa,Aix_sponsa,Aix_sponsa,,
Akialoa_ellisiana,Hemignathus_lucidus,Hemignathus_lucidus,Extinct,Extinct
Akialoa_lanaiensis,Hemignathus_lucidus,Hemignathus_lucidus,Extinct,Extinct
Akialoa_obscura,Hemignathus_lucidus,Hemignathus_lucidus,Extinct,Extinct
Akialoa_stejnegeri,Hemignathus_lucidus,Hemignathus_lucidus,Extinct,Extinct
Akletos_goeldii,Myrmeciza_goeldii,Myrmeciza_goeldii,New genus,New genus
Akletos_melanoceps,Myrmeciza_melanoceps,Myrmeciza_melanoceps,New genus,New genus
Alaemon_alaudipes,Alaemon_alaudipes,Alaemon_alaudipes,,
Alaemon_hamertoni,Alaemon_hamertoni,Alaemon_hamertoni,,
Alauda_arvensis,Alauda_arvensis,Alauda_arvensis,,
Alauda_gulgula,Alauda_gulgula,Alauda_gulgula,,
Alauda_leucoptera,Melanocorypha_leucoptera,Melanocorypha_leucoptera,New genus,New genus
Alauda_razae,Alauda_razae,Alauda_razae,,
Alaudala_raytal,Calandrella_raytal,Calandrella_raytal,New genus,New genus
Alaudala_rufescens,Calandrella_rufescens,Calandrella_rufescens,New genus,New genus
Alaudala_somalica,Calandrella_somalica,Calandrella_somalica,New genus,New genus
Alca_torda,Alca_torda,Alca_torda,,
Alcedo_atthis,Alcedo_atthis,Alcedo_atthis,,
Alcedo_coerulescens,Alcedo_coerulescens,Alcedo_coerulescens,,
Alcedo_euryzona,Alcedo_euryzona,Alcedo_euryzona,,
Alcedo_hercules,Alcedo_hercules,Alcedo_hercules,,
Alcedo_meninting,Alcedo_meninting,Alcedo_meninting,,
Alcedo_peninsulae,Alcedo_euryzona,Alcedo_euryzona,Lump/split,Lump/split
Alcedo_quadribrachys,Alcedo_quadribrachys,Alcedo_quadribrachys,,
Alcedo_semitorquata,Alcedo_semitorquata,Alcedo_semitorquata,,
Alcippe_brunneicauda,Alcippe_brunneicauda,Alcippe_brunneicauda,,
Alcippe_grotei,Alcippe_grotei,Alcippe_peracensis,,Lump/split
Alcippe_morrisonia,Alcippe_morrisonia,Alcippe_morrisonia,,
Alcippe_nipalensis,Alcippe_nipalensis,Alcippe_nipalensis,,
Alcippe_peracensis,Alcippe_peracensis,Alcippe_peracensis,,
Alcippe_poioicephala,Alcippe_poioicephala,Alcippe_poioicephala,,
Alcippe_pyrrhoptera,Alcippe_pyrrhoptera,Alcippe_pyrrhoptera,,
Aleadryas_rufinucha,Aleadryas_rufinucha,Aleadryas_rufinucha,,
Alectoris_barbara,Alectoris_barbara,Alectoris_barbara,,
Alectoris_chukar,Alectoris_chukar,Alectoris_chukar,,
Alectoris_graeca,Alectoris_graeca,Alectoris_graeca,,
Alectoris_magna,Alectoris_magna,Alectoris_magna,,
Alectoris_melanocephala,Alectoris_melanocephala,Alectoris_melanocephala,,
Alectoris_philbyi,Alectoris_philbyi,Alectoris_philbyi,,
Alectoris_rufa,Alectoris_rufa,Alectoris_rufa,,
Alectroenas_madagascariensis,Alectroenas_madagascariensis,Alectroenas_madagascariensis,,
Alectroenas_nitidissimus,Alectroenas_madagascariensis,Alectroenas_madagascariensis,Extinct,Extinct
Alectroenas_payandeei,Alectroenas_madagascariensis,Alectroenas_madagascariensis,Extinct,Extinct
Alectroenas_pulcherrimus,Alectroenas_pulcherrima,Alectroenas_pulcherrima,Typo,Typo
Alectroenas_sganzini,Alectroenas_sganzini,Alectroenas_sganzini,,
Alectrurus_risora,Alectrurus_risora,Alectrurus_risora,,
Alectrurus_tricolor,Alectrurus_tricolor,Alectrurus_tricolor,,
Alectura_lathami,Alectura_lathami,Alectura_lathami,,
Alethe_castanea,Alethe_diademata,Alethe_diademata,Lump/split,Lump/split
Alethe_diademata,Alethe_diademata,Alethe_diademata,,
Alipiopsitta_xanthops,Alipiopsitta_xanthops,Alipiopsitta_xanthops,,
Alisterus_amboinensis,Alisterus_amboinensis,Alisterus_amboinensis,,
Alisterus_chloropterus,Alisterus_chloropterus,Alisterus_chloropterus,,
Alisterus_scapularis,Alisterus_scapularis,Alisterus_scapularis,,
Alle_alle,Alle_alle,Alle_alle,,
Allenia_fusca,Margarops_fuscus,Margarops_fuscus,New genus,New genus
Alopecoenas_beccarii,Gallicolumba_beccarii,Gallicolumba_beccarii,New genus,New genus
Alopecoenas_canifrons,Gallicolumba_canifrons,Gallicolumba_canifrons,New genus,New genus
