"","cell_id","SR"
"1353",1353,155
"1354",1354,201
"1355",1355,222
"1356",1356,166
"1357",1357,136
"1358",1358,126
"1359",1359,126
"1360",1360,123
"1361",1361,108
"1362",1362,97
"1363",1363,84
"1364",1364,85
"1365",1365,50
"1366",1366,108
"1367",1367,123
"1368",1368,98
"1369",1369,91
"1370",1370,96
"1371",1371,83
"1372",1372,43
"1373",1373,38
"1374",1374,37
"1375",1375,27
"1376",1376,21
"1377",1377,17
"1378",1378,16
"1379",1379,13
"1380",1380,20
"1381",1381,22
"1382",1382,25
"1383",1383,24
"1384",1384,20
"1385",1385,19
"1386",1386,22
"1387",1387,21
"1388",1388,17
"1389",1389,17
"1390",1390,13
"1391",1391,13
"1392",1392,13
"1393",1393,17
"1394",1394,22
"1395",1395,40
"1396",1396,48
"1397",1397,32
"1398",1398,33
"1399",1399,27
"1400",1400,23
"1401",1401,21
"1402",1402,24
"1403",1403,24
"1404",1404,47
"1405",1405,52
"1406",1406,48
"1407",1407,44
"1408",1408,45
"1409",1409,42
"1410",1410,59
"1411",1411,55
"1412",1412,50
"1413",1413,60
"1414",1414,66
"1415",1415,70
"1416",1416,71
"1417",1417,83
"1418",1418,110
"1419",1419,153
"1420",1420,170
"1421",1421,193
"1422",1422,173
"1423",1423,156
"1424",1424,162
"1425",1425,193
"1426",1426,216
"1427",1427,158
"1428",1428,135
"1429",1429,122
"1430",1430,125
"1431",1431,122
"1432",1432,91
"1433",1433,81
"1434",1434,80
"1435",1435,95
"1436",1436,97
"1437",1437,86
"1438",1438,116
"1439",1439,98
"1440",1440,96
"1441",1441,99
"1442",1442,94
"1443",1443,73
"1444",1444,64
"1445",1445,43
"1446",1446,60
"1447",1447,52
"1448",1448,33
"1449",1449,32
"1450",1450,27
"1451",1451,22
"1452",1452,23
"1453",1453,20
"1454",1454,17
"1455",1455,20
"1456",1456,21
"1457",1457,21
"1458",1458,21
"1459",1459,24
"1460",1460,30
"1461",1461,25
"1462",1462,21
"1463",1463,23
"1464",1464,27
"1465",1465,40
"1466",1466,57
"1467",1467,58
"1468",1468,63
"1469",1469,36
"1470",1470,26
"1471",1471,23
"1472",1472,21
"1473",1473,22
"1474",1474,32
"1475",1475,56
"1476",1476,59
"1477",1477,52
"1478",1478,51
"1479",1479,50
"1480",1480,53
"1481",1481,43
"1482",1482,48
"1483",1483,62
"1484",1484,56
"1485",1485,50
"1486",1486,51
"1487",1487,60
"1488",1488,86
"1489",1489,117
"1490",1490,130
"1491",1491,130
"1492",1492,128
"1493",1493,80
"1494",1494,88
"1495",1495,65
"1496",1496,97
"1497",1497,134
"1498",1498,170
"1499",1499,177
"1500",1500,140
"1501",1501,158
"1502",1502,120
"1503",1503,120
"1504",1504,115
"1505",1505,93
"1506",1506,71
"1507",1507,72
"1508",1508,93
"1509",1509,99
"1510",1510,77
"1511",1511,80
"1512",1512,75
"1513",1513,103
"1514",1514,113
"1515",1515,107
"1516",1516,100
"1517",1517,99
"1518",1518,82
"1519",1519,66
"1520",1520,63
"1521",1521,57
"1522",1522,52
"1523",1523,47
"1524",1524,48
"1525",1525,52
"1526",1526,53
"1527",1527,51
"1528",1528,70
"1529",1529,75
"1530",1530,68
"1531",1531,51
"1532",1532,42
"1533",1533,31
"1534",1534,29
"1535",1535,25
"1536",1536,19
"1537",1537,24
"1538",1538,35
"1539",1539,37
"1540",1540,34
"1541",1541,29
"1542",1542,47
"1543",1543,40
"1544",1544,40
"1545",1545,41
"1546",1546,54
"1547",1547,66
"1548",1548,61
"1549",1549,88
"1550",1550,48
"1551",1551,30
"1552",1552,21
"1553",1553,24
"1554",1554,37
"1555",1555,46
"1556",1556,65
"1557",1557,67
"1558",1558,61
"1559",1559,50
"1560",1560,48
"1561",1561,48
"1562",1562,51
"1563",1563,42
"1564",1564,47
"1565",1565,59
"1566",1566,60
"1567",1567,53
"1568",1568,55
"1569",1569,76
"1570",1570,111
"1571",1571,126
"1572",1572,97
"1573",1573,51
"1574",1574,26
"1575",1575,24
"1576",1576,25
"1577",1577,29
"1578",1578,47
"1579",1579,76
"1580",1580,85
"1581",1581,90
"1582",1582,116
"1583",1583,148
"1584",1584,127
"1585",1585,105
"1586",1586,108
"1587",1587,92
"1588",1588,55
"1589",1589,73
"1590",1590,88
"1591",1591,91
"1592",1592,76
"1593",1593,83
"1594",1594,82
"1595",1595,92
"1596",1596,118
"1597",1597,122
"1598",1598,109
"1599",1599,98
"1600",1600,85
"1601",1601,72
"1602",1602,68
"1603",1603,64
"1604",1604,62
"1605",1605,56
"1606",1606,50
"1607",1607,51
"1608",1608,54
"1609",1609,56
"1610",1610,57
"1611",1611,51
"1612",1612,59
"1613",1613,73
"1614",1614,72
"1615",1615,66
"1616",1616,56
"1617",1617,50
"1618",1618,43
"1619",1619,43
"1620",1620,50
"1621",1621,48
"1622",1622,80
"1623",1623,34
"1624",1624,27
"1625",1625,38
"1626",1626,50
"1627",1627,70
"1628",1628,70
"1629",1629,69
"1630",1630,57
"1631",1631,46
"1632",1632,43
"1633",1633,48
"1634",1634,60
"1635",1635,57
"1636",1636,52
"1637",1637,60
"1638",1638,68
"1639",1639,85
"1640",1640,90
"1641",1641,109
"1642",1642,106
"1643",1643,70
"1644",1644,31
"1645",1645,24
"1646",1646,22
"1647",1647,21
"1648",1648,22
"1649",1649,24
"1650",1650,31
"1651",1651,51
"1652",1652,68
"1653",1653,65
"1654",1654,80
"1655",1655,135
"1656",1656,140
"1657",1657,127
"1658",1658,125
"1659",1659,92
"1660",1660,62
"1661",1661,52
"1662",1662,51
"1663",1663,54
"1664",1664,40
"1665",1665,92
"1666",1666,98
"1667",1667,84
"1668",1668,100
"1669",1669,107
"1670",1670,98
"1671",1671,113
"1672",1672,103
"1673",1673,78
"1674",1674,70
"1675",1675,67
"1676",1676,65
"1677",1677,63
"1678",1678,60
"1679",1679,59
"1680",1680,56
"1681",1681,56
"1682",1682,71
"1683",1683,71
"1684",1684,68
"1685",1685,53
"1686",1686,47
"1687",1687,59
"1688",1688,60
"1689",1689,60
"1690",1690,62
"1691",1691,65
"1692",1692,65
"1693",1693,65
"1694",1694,65
"1695",1695,74
"1696",1696,49
"1697",1697,39
"1698",1698,43
"1699",1699,62
"1700",1700,72
"1701",1701,74
"1702",1702,77
"1703",1703,72
"1704",1704,60
"1705",1705,56
"1706",1706,62
"1707",1707,70
"1708",1708,63
"1709",1709,61
"1710",1710,67
"1711",1711,86
"1712",1712,97
"1713",1713,97
"1714",1714,90
"1715",1715,66
"1716",1716,49
"1717",1717,34
"1718",1718,25
"1719",1719,24
"1720",1720,23
"1721",1721,23
"1722",1722,24
"1723",1723,30
"1724",1724,37
"1725",1725,55
"1726",1726,58
"1727",1727,73
"1728",1728,113
"1729",1729,114
"1730",1730,118
"1731",1731,110
"1732",1732,83
"1733",1733,65
"1734",1734,50
"1735",1735,44
"1736",1736,37
"1737",1737,37
"1738",1738,45
"1739",1739,48
"1740",1740,53
"1741",1741,87
"1742",1742,118
"1743",1743,91
"1744",1744,91
"1745",1745,105
"1746",1746,106
"1747",1747,93
"1748",1748,101
"1749",1749,101
"1750",1750,81
"1751",1751,70
"1752",1752,67
"1753",1753,65
"1754",1754,63
"1755",1755,59
"1756",1756,58
"1757",1757,57
"1758",1758,60
"1759",1759,63
"1760",1760,67
"1761",1761,64
"1762",1762,64
"1763",1763,52
"1764",1764,49
"1765",1765,51
"1766",1766,50
"1767",1767,49
"1768",1768,64
"1769",1769,73
"1770",1770,68
"1771",1771,76
"1772",1772,76
