"","cell_id","elev_mean","elev_range"
"352",352,912.598266601562,848
"353",353,723.519958496094,763
"354",354,739.496337890625,1706
"355",355,299.146179199219,1393
"356",356,602.370910644531,1803
"357",357,1174.2216796875,832
"358",358,1219.5712890625,898
"359",359,1201.94738769531,535
"360",360,1084.74877929688,272
"361",361,962.469848632812,114
"362",362,986.900268554688,351
"363",363,982.631042480469,711
"364",364,1179.52612304688,712
"365",365,1272.89184570312,1053
"366",366,822.55322265625,2435
"367",367,89.9296646118164,1752
"368",368,328.676055908203,1466
"369",369,1255.19677734375,2016
"370",370,318.939239501953,1490
"371",371,131.580963134766,279
"372",372,161.902069091797,276
"373",373,325.063812255859,527
"374",374,394.677917480469,400
"375",375,312.073913574219,315
"376",376,266.838745117188,212
"377",377,242.857315063477,253
"378",378,252.917877197266,309
"379",379,168.611190795898,438
"380",380,67.0748062133789,264
"381",381,332.530944824219,968
"382",382,560.697265625,1062
"383",383,2411.15771484375,5839
"384",384,4104.666015625,4557
"385",385,3029.666015625,5932
"386",386,1057.34130859375,4362
"387",387,338.928924560547,2018
"388",388,347.731781005859,516
"389",389,204.649368286133,1025
"390",390,127.222282409668,726
"391",391,303.154510498047,650
"392",392,634.037780761719,731
"393",393,641.833312988281,735
"394",394,781.604553222656,770
"395",395,764.181030273438,756
"396",396,674.300537109375,827
"397",397,773.91748046875,1213
"398",398,499.431304931641,1092
"399",399,899.706115722656,1920
"400",400,1140.41040039062,656
"401",401,1161.6630859375,173
"402",402,1163.47253417969,211
"403",403,1091.5927734375,208
"404",404,1013.1103515625,161
"405",405,1038.45837402344,468
"406",406,999.135559082031,901
"407",407,838.49658203125,1097
"408",408,1046.28747558594,1372
"409",409,618.587341308594,2046
"410",410,252.710906982422,1944
"411",411,184.025085449219,1539
"412",412,192.944534301758,1020
"413",413,462.851654052734,1541
"414",414,547.583801269531,1534
"415",415,33.3491249084473,264
"416",416,216.310134887695,856
"417",417,438.565612792969,844
"418",418,256.755737304688,662
"419",419,223.88232421875,402
"420",420,239.141357421875,145
"421",421,221.904647827148,296
"422",422,156.329605102539,372
"423",423,11.5089826583862,80
"424",424,135.79670715332,476
"425",425,423.424407958984,1477
"426",426,1297.54138183594,4645
"427",427,3848.11254882812,6125
"428",428,4339.48486328125,3852
"429",429,3034.33740234375,5783
"430",430,473.621307373047,2687
"431",431,166.257690429688,83
"432",432,234.147308349609,493
"433",433,287.788391113281,836
"434",434,418.005859375,808
"435",435,301.198333740234,767
"436",436,503.161712646484,761
"437",437,454.333068847656,645
"438",438,320.198883056641,767
"439",439,662.723388671875,1125
"440",440,796.050109863281,1188
"441",441,683.378723144531,506
"442",442,658.59765625,1219
"443",443,641.601013183594,1222
"444",444,99.2000961303711,1020
"445",445,706.680908203125,2301
"446",446,1320.01330566406,1072
"447",447,1387.77014160156,573
"448",448,1300.02612304688,455
"449",449,1155.24670410156,313
"450",450,1051.88269042969,142
"451",451,1150.09619140625,247
"452",452,1105.11047363281,489
"453",453,967.501037597656,1206
"454",454,703.701416015625,1043
"455",455,726.278381347656,1541
"456",456,790.209167480469,2674
"457",457,656.265197753906,1809
"458",458,363.846496582031,1491
"459",459,650.160278320312,2778
"460",460,235.499069213867,655
"461",461,46.129020690918,500
"462",462,154.364334106445,360
"463",463,180.08528137207,371
"464",464,70.2334136962891,297
"465",465,104.474258422852,413
"466",466,3563.02612304688,5234
"467",467,2665.78051757812,5146
"468",468,1828.52722167969,5876
"469",469,426.017730712891,4594
"470",470,173.78239440918,304
"471",471,147.752639770508,368
"472",472,176.326721191406,507
"473",473,296.401794433594,562
"474",474,452.186218261719,458
"475",475,377.643096923828,378
"476",476,404.093688964844,312
"477",477,354.988952636719,314
"478",478,253.591384887695,285
"479",479,356.946868896484,869
"480",480,590.771850585938,1355
"481",481,726.706970214844,494
"482",482,637.675109863281,1310
"483",483,663.282897949219,1698
"484",484,172.376510620117,901
"485",485,298.885620117188,2335
"486",486,1468.86254882812,2222
"487",487,1552.31066894531,601
"488",488,1399.05041503906,497
"489",489,1191.9150390625,378
"490",490,1133.12219238281,575
"491",491,1216.34558105469,461
"492",492,1253.61450195312,450
"493",493,1252.5625,717
"494",494,1041.19079589844,1228
"495",495,1014.23742675781,1425
"496",496,774.994934082031,1341
"497",497,596.269958496094,1027
"498",498,381.890594482422,1031
"499",499,184.002304077148,2650
"500",500,43.4636573791504,296
"501",501,178.143508911133,469
"502",502,85.5294036865234,363
"503",503,77.2373733520508,756
"504",504,2504.95703125,6120
"505",505,2165.43603515625,5292
"506",506,535.318603515625,3365
"507",507,374.508483886719,821
"508",508,261.216430664062,267
"509",509,175.873474121094,133
"510",510,172.9365234375,507
"511",511,240.047119140625,975
"512",512,243.324432373047,427
"513",513,306.991668701172,442
"514",514,326.400177001953,377
"515",515,337.063079833984,276
"516",516,317.155944824219,292
"517",517,222.37548828125,474
"518",518,265.891693115234,565
"519",519,504.322113037109,721
"520",520,577.239074707031,511
"521",521,542.783996582031,1162
"522",522,669.59130859375,984
"523",523,336.489318847656,808
"524",524,73.3373260498047,595
"525",525,1168.67846679688,2392
"526",526,1307.619140625,793
"527",527,1280.16088867188,629
"528",528,1140.72521972656,373
"529",529,1110.84704589844,606
"530",530,1321.57434082031,939
"531",531,1272.31713867188,867
"532",532,1179.74890136719,711
"533",533,1278.79089355469,1115
"534",534,1126.04162597656,2046
"535",535,801.262390136719,1884
"536",536,601.143859863281,948
"537",537,333.713409423828,1002
"538",538,2997.37377929688,6213
"539",539,519.931335449219,3875
"540",540,269.643737792969,645
"541",541,262.953186035156,264
"542",542,201.480056762695,174
"543",543,152.553283691406,151
"544",544,123.108543395996,332
"545",545,116.581039428711,297
"546",546,137.746505737305,357
"547",547,189.906921386719,339
"548",548,274.294006347656,589
"549",549,374.562896728516,519
"550",550,318.713989257812,441
"551",551,305.078582763672,573
"552",552,245.620544433594,502
"553",553,368.419036865234,614
"554",554,455.290802001953,482
"555",555,444.349761962891,571
"556",556,458.126831054688,814
"557",557,421.530670166016,880
"558",558,449.282409667969,1134
"559",559,730.646301269531,1550
"560",560,910.855041503906,763
"561",561,1056.66662597656,726
"562",562,982.457946777344,476
"563",563,1009.66473388672,305
"564",564,966.281677246094,967
"565",565,1100.93322753906,1348
"566",566,1120.1962890625,1086
"567",567,1373.97473144531,1569
"568",568,1286.67053222656,2406
"569",569,1341.02502441406,2605
"570",570,483.03955078125,1756
"571",571,182.072952270508,761
"572",572,516.183532714844,3865
"573",573,1583.90002441406,4468
"574",574,1578.64904785156,4371
"575",575,244.763381958008,1582
"576",576,212.702514648438,700
"577",577,192.71711730957,174
"578",578,161.303695678711,143
"579",579,126.089164733887,123
"580",580,86.1371231079102,85
"581",581,71.6604766845703,87
"582",582,86.4496154785156,249
"583",583,149.320343017578,285
"584",584,229.769165039062,439
"585",585,269.191528320312,308
"586",586,287.875274658203,537
"587",587,323.065277099609,672
"588",588,211.324111938477,638
"589",589,292.1796875,544
"590",590,347.828338623047,469
"591",591,255.794281005859,407
"592",592,459.564971923828,739
"593",593,441.262603759766,1011
"594",594,434.578643798828,1014
"595",595,112.395324707031,734
"596",596,150.269744873047,748
"597",597,790.447021484375,1052
"598",598,729.097229003906,701
"599",599,905.560791015625,705
"600",600,717.995422363281,570
"601",601,812.081359863281,599
"602",602,856.434814453125,560
"603",603,700.234436035156,904
"604",604,1127.83911132812,1885
"605",605,1144.02954101562,1657
"606",606,1250.29370117188,1105
"607",607,1133.39074707031,1597
"608",608,782.184875488281,2510
"609",609,82.056999206543,684
"610",610,285.869598388672,2851
"611",611,161.99755859375,3253
"612",612,163.559188842773,3134
"613",613,14.2210721969604,66
"614",614,40.3801460266113,143
"615",615,427.474884033203,4039
"616",616,849.047302246094,3879
"617",617,820.07373046875,3983
"618",618,127.06893157959,2045
"619",619,1485.4658203125,3774
"620",620,499.326202392578,3543
"621",621,128.969116210938,166
"622",622,138.697631835938,116
"623",623,129.370651245117,161
"624",624,134.74919128418,154
"625",625,102.400260925293,93
"626",626,81.2262344360352,81
"627",627,55.0581474304199,72
"628",628,48.0425262451172,73
"629",629,73.3226318359375,233
"630",630,125.28101348877,414
"631",631,223.39924621582,456
"632",632,217.328414916992,457
"633",633,206.069320678711,583
"634",634,149.878707885742,614
"635",635,236.725692749023,483
"636",636,152.315200805664,406
"637",637,135.27815246582,380
"638",638,361.128997802734,1002
"639",639,225.01416015625,1009
"640",640,59.4252395629883,726
"641",641,245.09782409668,841
"642",642,525.341979980469,790
"643",643,587.158203125,595
"644",644,559.121215820312,581
"645",645,519.924072265625,468
"646",646,558.725708007812,496
"647",647,612.591369628906,451
"648",648,649.910339355469,975
"649",649,992.265319824219,1999
"650",650,1163.99365234375,1100
"651",651,1182.67663574219,523
"652",652,1339.03039550781,2335
"653",653,1109.33178710938,1936
"654",654,252.936645507812,2210
"655",655,138.468231201172,1974
"656",656,711.470092773438,4395
"657",657,768.719177246094,4381
"658",658,1105.22045898438,3732
"659",659,571.029541015625,4336
"660",660,1666.81481933594,5024
"661",661,304.250946044922,1769
"662",662,171.680023193359,184
"663",663,131.360168457031,120
"664",664,117.398315429688,114
"665",665,105.339164733887,141
"666",666,76.54736328125,84
"667",667,61.891716003418,78
"668",668,51.871452331543,64
"669",669,47.5484275817871,167
"670",670,52.852954864502,189
"671",671,51.8583297729492,192
"672",672,94.0774917602539,386
"673",673,131.838760375977,411
"674",674,75.6210784912109,372
"675",675,62.3216705322266,279
"676",676,104.974685668945,321
"677",677,27.5041103363037,234
"678",678,45.4067573547363,152
"679",679,84.3525085449219,943
"680",680,175.448471069336,893
"681",681,460.218231201172,775
"682",682,574.143615722656,644
"683",683,372.567230224609,368
"684",684,351.802185058594,228
"685",685,435.537780761719,308
"686",686,499.848785400391,314
"687",687,511.861358642578,279
"688",688,681.550354003906,1129
"689",689,1631.74401855469,2789
"690",690,1333.66931152344,946
"691",691,1191.89599609375,533
"692",692,1455.66857910156,2938
"693",693,1236.27746582031,5183
"694",694,387.678924560547,2012
"695",695,251.44580078125,2334
"696",696,14.8057279586792,373
"697",697,13.7777872085571,248
"698",698,79.2050857543945,1554
"699",699,494.957641601562,3258
"700",700,94.5921249389648,1579
"701",701,269.317169189453,3631
"702",702,795.5048828125,4350
"703",703,590.356994628906,3792
"704",704,209.156387329102,1738
"705",705,1728.39184570312,6009
"706",706,570.050109863281,4735
"707",707,200.441436767578,175
"708",708,178.043518066406,310
"709",709,144.812698364258,261
"710",710,122.223587036133,541
"711",711,82.3669281005859,756
"712",712,63.2270469665527,236
"713",713,47.1439971923828,58
"714",714,67.3791656494141,302
"715",715,139.937088012695,384
"716",716,129.191192626953,416
"717",717,250.911682128906,715
"718",718,132.740951538086,819
"719",719,20.0267181396484,198
"720",720,11.2293815612793,67
"721",721,21.7396621704102,122
"722",722,320.015319824219,943
"723",723,456.116943359375,771
"724",724,436.323638916016,441
"725",725,316.735687255859,169
"726",726,331.660736083984,105
"727",727,382.432769775391,216
"728",728,431.783843994141,226
"729",729,478.108215332031,299
"730",730,687.588500976562,890
"731",731,1442.45776367188,3566
"732",732,1344.43151855469,1396
"733",733,1692.93481445312,2205
"734",734,1632.87512207031,4350
"735",735,387.001953125,1615
"736",736,64.5073089599609,192
"737",737,412.710388183594,3519
"738",738,47.9943046569824,699
"739",739,156.508270263672,1521
"740",740,199.299728393555,2089
"741",741,135.850646972656,1191
"742",742,36.1408462524414,1092
"743",743,442.910552978516,2774
"744",744,552.551208496094,5352
"745",745,1499.01245117188,5452
"746",746,326.093414306641,2483
"747",747,244.784896850586,665
"748",748,216.281280517578,521
"749",749,146.812301635742,784
"750",750,121.687225341797,2419
"751",751,342.152740478516,2451
"752",752,136.652618408203,1998
"753",753,96.112663269043,1704
